material_key,formula,cod_id,mineral_name,chemical_name,space_group,space_group_number,a_m,a_original_angstrom,a_uncertainty_angstrom,b_original_angstrom,b_uncertainty_angstrom,c_original_angstrom,c_uncertainty_angstrom,alpha_deg,beta_deg,gamma_deg,original_units,temperature_k,temperature_status,sample_form,r_factor_all,doi,authors,journal,year,title,source_key,source_locator,status,note,quality_flag
CaO:cod-7200686,CaO,7200686,,,F m -3 m,225,4.810720000000e-10,4.81072,0.00013,4.81072,0.00013,4.81072,0.00013,90,90,90,angstrom,298,recorded_cell,single crystal or powder - see source,,10.1039/b820173k,"Verbraeken, Maarten C.; Suard, Emmanuelle; Irvine, John T. S.",Journal of Materials Chemistry,2009,Structural and electrical properties of calcium and strontium hydrides,cod,COD entry 7200686,verified,,ok
Cr2O3:cod-2104122,Cr2O3,2104122,,,R -3 c,167,4.958000000000e-10,4.958,0.001,4.958,0.001,13.59,0.03,90,90,120,angstrom,298,recorded_cell,single crystal or powder - see source,,10.1107/S0108768108005739,"Yang, J.",Acta Crystallographica Section B,2008,Structural analysis of perovskite LaCr~1{-~<i>x</i>}Ni~<i>x~</i>O~3~ by Rietveld refinement of X-ray powder diffraction data,cod,COD entry 2104122,verified,,ok
Cu2O:cod-1000063,Cu2O,1000063,Cuprite,Copper(I) oxide,P n -3 m :1,224,4.252000000000e-10,4.252,0.002,4.252,0.002,4.252,0.002,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1007/BF01390765,"Neuburger, M C",Zeitschrift fuer Physik,1930,Praezisionsmessung der Gitterkonstante von Cuprooxyd Cu2 O,cod,COD entry 1000063,verified,Source states no measurement temperature; not assumed to be ambient.,ok
CuO:cod-7212242,CuO,7212242,Tenorite,Copper Oxide,C 1 2/c 1,15,4.683700000000e-10,4.6837,0.0005,3.4226,0.0005,5.1288,0.0006,90,99.54,90,angstrom,,not_stated_in_source,single crystal or powder - see source,0.032,10.1039/b922978g,"Volanti, Diogo P.; Orlandi, Marcelo O.; Andrés, Juan; Longo, Elson",CrystEngComm,2010,Efficient microwave-assisted hydrothermal synthesis of CuO sea urchin-like architectures via a mesoscale self-assembly,cod,COD entry 7212242,verified,Source states no measurement temperature; not assumed to be ambient.,ok
Fe2O3:cod-2101167,Fe2O3,2101167,Hematite,,R -3 c :H,,5.035500000000e-10,5.0355,0.0005,5.0355,0.0005,13.7471,0.0007,90,90,120,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1107/S0108768194002284,"Maslen, E. N.; Streltsov, V. A.; Streltsova, N. R.; Ishizawa, N.",Acta Crystallographica Section B,1994,Synchrotron X-ray study of the electron density in α-Fe~2~O~3~,cod,COD entry 2101167,verified,Source states no measurement temperature; not assumed to be ambient. Source reports this same cell in more than one COD entry; kept once. Source reports this same cell in more than one COD entry; kept once.,ok
Fe2O3:cod-2108027,Fe2O3,2108027,,,C 1 2/c 1,15,9.618650000000e-10,9.61865,0.00009,5.03554,0.00003,13.75158,0.00013,90,162.404,90,angstrom,293,recorded_cell,single crystal or powder - see source,0.0317,10.1107/S2052520616017935,"Fabrykiewicz, P.; Stekiel, M.; Sosnowska, I.; Przeniosło, R.",Acta Crystallographica Section B,2017,Deformations of the α-Fe~2~O~3~ rhombohedral lattice across the Néel temperature,cod,COD entry 2108027,verified,,ok
HfO2:cod-4001331,HfO2,4001331,,,P 1 21/c 1,14,5.150100000000e-10,5.1501,0.0004,5.1852,0.0005,5.3418,0.0005,90,98.948,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1021/cm062864a,"Henderson, Stuart J.; Shebanova, Olga; Hector, Andrew L.; McMillan, Paul F.; Weller, Mark T.",Chemistry of Materials,2007,"Structural Variations in Pyrochlore-Structured Bi2Hf2O7, Bi2Ti2O7and Bi2Hf2-xTixO7Solid Solutions as a Function of Composition and Temperature by Neutron and X-ray Diffraction and Raman Spectroscopy",cod,COD entry 4001331,verified,Source states no measurement temperature; not assumed to be ambient.,ok
In2O3:cod-2310009,In2O3,2310009,,Indium Oxide,I a -3,206,1.011700000000e-09,10.117,0.001,10.117,0.001,10.117,0.001,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1107/s0365110x66001749,"Marezio, M.",Acta Crystallographica,1966,Refinement of the crystal structure of In~2~O~3~ at two wavelengths,cod,COD entry 2310009,verified,Source states no measurement temperature; not assumed to be ambient.,ok
La2O3:cod-4102405,La2O3,4102405,,,P 63/m m c,194,3.957000000000e-10,3.957,0.002,3.95715,,6.138,0.001,90,90,120,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1021/ja1001295,Cao Wang; Ming-qiu Tan; Chun-mu Feng; Zhi-feng Ma; Shuai Jiang; Zhu-an Xu; Guang-han Cao; Kazuyuki Matsubayashi; Yoshiya Uwatoko,Journal of the American Chemical Society,2010,La2Co2Se2O3: A Quasi-Two-Dimensional Mott Insulator with Unusual Cobalt Spin State and Possible Orbital Ordering,cod,COD entry 4102405,verified,Source states no measurement temperature; not assumed to be ambient.,ok
MgO:cod-1000053,MgO,1000053,Periclase,Magnesium oxide,F m -3 m,225,4.217000000000e-10,4.217,0.001,4.217,0.001,4.217,0.001,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,0.0126,10.2183/pjab.55.43,"Sasaki, Satoshi; Fujino, Kiyoshi; Takéuchi, Yoshio","Proceedings of the Japan Academy, Series B: Physical and Biological Sciences",1979,"X-Ray Determination of Electron-Density Distributions in Oxides, MgO, MnO, CoO, and NiO, and Atomic Scattering Factors of their Constituent Atoms",cod,COD entry 1000053,verified,Source states no measurement temperature; not assumed to be ambient.,ok
MgO:cod-1011326,MgO,1011326,Periclase,Magnesium oxide,F m -3 m,225,4.220000000000e-10,4.22,0.02,4.22,0.02,4.22,0.02,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1007/BF01326966,"Gerlach, W",Zeitschrift fuer Physik,1922,Die Gitterstruktur der Erdalkalioxyde,cod,COD entry 1011326,verified,Source states no measurement temperature; not assumed to be ambient.,low_precision
MgO:cod-4001309,MgO,4001309,,,F m -3 m,225,4.212140000000e-10,4.21214,0.00006,4.21214,,4.21214,,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1021/cm0624116,"Bernuy-Lopez, Carlos; Allix, Mathieu; Bridges, Craig A.; Claridge, John B.; Rosseinsky, Matthew J.",Chemistry of Materials,2007,"Sr2MgMoO6-δ: Structure, Phase Stability, and Cation Site Order Control of Reduction",cod,COD entry 4001309,verified,Source states no measurement temperature; not assumed to be ambient.,ok
MgO:cod-4001314,MgO,4001314,,,F m -3 m,225,4.210410000000e-10,4.21041,0.00015,4.21041,,4.21041,,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1021/cm0624116,"Bernuy-Lopez, Carlos; Allix, Mathieu; Bridges, Craig A.; Claridge, John B.; Rosseinsky, Matthew J.",Chemistry of Materials,2007,"Sr2MgMoO6-δ: Structure, Phase Stability, and Cation Site Order Control of Reduction",cod,COD entry 4001314,verified,Source states no measurement temperature; not assumed to be ambient.,ok
MnO:cod-4117966,MnO,4117966,,,P 63 m c,186,3.371700000000e-10,3.3717,0.00018,3.3717,,5.3855,0.0007,90,90,120,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1021/ja302440y,Ki Min Nam; Yong-Il Kim; Younghun Jo; Seung Mi Lee; Bog G. Kim; Ran Choi; Sang-Il Choi; Hyunjoon Song; Joon T. Park,Journal of the American Chemical Society,2012,New Crystal Structure: Synthesis and Characterization of Hexagonal Wurtzite MnO,cod,COD entry 4117966,verified,Source states no measurement temperature; not assumed to be ambient.,ok
MnO:cod-1514099,MnO,1514099,Manganosite,Manganese Oxide,F m -3 m,225,4.446000000000e-10,4.446,0.001,4.446,0.001,4.446,0.001,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,0.0102,10.2183/pjab.55.43,"Sasaki, Satoshi; Fujino, Kiyoshi; Takéuchi, Yoshio","Proceedings of the Japan Academy, Series B: Physical and Biological Sciences",1979,"X-Ray Determination of Electron-Density Distributions in Oxides, MgO, MnO, CoO, and NiO, and Atomic Scattering Factors of their Constituent Atoms",cod,COD entry 1514099,verified,Source states no measurement temperature; not assumed to be ambient.,ok
MnO:cod-1514105,MnO,1514105,Manganosite,Manganese Oxide,F m -3 m,225,4.444000000000e-10,4.444,0.001,4.444,,4.444,,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1143/JPSJ.17.1022,"Kuriyama, M.; Hosoya, S.",Journal of the Physical Society of Japan,1962,X-ray measurement of scattering factors of manganese and oxygen in manganous oxide,cod,COD entry 1514105,verified,Source states no measurement temperature; not assumed to be ambient.,ok
NiO:cod-1010093,NiO,1010093,,Nickel oxide,F m -3 m,225,4.168400000000e-10,4.1684,0.001,4.1684,0.001,4.1684,0.001,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1021/ja01329a013,"Cairns, R W; Ott, E",Journal of the American Chemical Society,1933,X-Ray Studies of the System Nickel-Oxygen-Water. I. Nickelous Oxide and Hydroxide,cod,COD entry 1010093,verified,Source states no measurement temperature; not assumed to be ambient.,ok
NiO:cod-1010381,NiO,1010381,,Nickel oxide,F m -3 m,225,4.170000000000e-10,4.17,0.003,4.17,0.003,4.17,0.003,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1021/ja01862a037,"Thomassen, L",Journal of the American Chemical Society,1940,An X-Ray Investigation of the System Cr~2~ O~3~ - Ni O,cod,COD entry 1010381,verified,Source states no measurement temperature; not assumed to be ambient.,ok
Sc2O3:cod-4326666,Sc2O3,4326666,,,I a -3,206,9.843100000000e-10,9.8431,0.0004,9.8431,,9.8431,,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1021/ic201387d,John P. S. Mowat; Stuart R. Miller; John M. Griffin; Valerie R. Seymour; Sharon E. Ashbrook; Stephen P. Thompson; David Fairen-Jimenez; Ana-Maria Banu; Tina Düren; Paul A. Wright,Inorganic Chemistry,2011,"Structural Chemistry, monoclinic-to-orthorhombic Phase Transition, and CO2 Adsorption Behavior of the Small Pore Scandium Terephthalate, Sc2(O2CC6H4CO2)3, and Its Nitro- And Amino-Functionalized Derivatives",cod,COD entry 4326666,verified,Source states no measurement temperature; not assumed to be ambient.,ok
Sc2O3:cod-4326667,Sc2O3,4326667,,,I a -3,206,9.854500000000e-10,9.8545,0.0006,9.8545,,9.8545,,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1021/ic201387d,John P. S. Mowat; Stuart R. Miller; John M. Griffin; Valerie R. Seymour; Sharon E. Ashbrook; Stephen P. Thompson; David Fairen-Jimenez; Ana-Maria Banu; Tina Düren; Paul A. Wright,Inorganic Chemistry,2011,"Structural Chemistry, monoclinic-to-orthorhombic Phase Transition, and CO2 Adsorption Behavior of the Small Pore Scandium Terephthalate, Sc2(O2CC6H4CO2)3, and Its Nitro- And Amino-Functionalized Derivatives",cod,COD entry 4326667,verified,Source states no measurement temperature; not assumed to be ambient.,ok
Sc2O3:cod-4501808,Sc2O3,4501808,,,I a -3,206,9.834900000000e-10,9.8349,0.0001,9.8349,0.0001,9.8349,0.0001,90,90,90,angstrom,296,recorded_cell,single crystal or powder - see source,0.0153,10.1021/cg1004962,"Cong, Hengjiang; Zhang, Huaijin; Yao, Bin; Yu, Wentao; Zhao, Xian; Wang, Jiyang; Zhang, Guangcai",Crystal Growth & Design,2010,ScVO4: Explorations of Novel Crystalline Inorganic Optical Materials in Rare-Earth Orthovanadate Systems,cod,COD entry 4501808,verified,,ok
SiO2:cod-1505106,SiO2,1505106,,catena-(alumosilicate),P 1 21/n 1,14,1.338200000000e-09,13.382,0.003,20.125,0.005,19.89,0.005,90,90.547,90,angstrom,293,recorded_cell,single crystal or powder - see source,0.0911,10.1021/jp075934p,"Schmidt, Wolfgang; Wilczok, Ursula; Weidenthaler, Claudia; Medenbach, Olaf; Goddard, Richard; Buth, Gernot; Cepak, Alexander",The journal of physical chemistry. B,2007,Preparation and morphology of pyramidal MFI single-crystal segments.,cod,COD entry 1505106,verified,,ok
SiO2:cod-2100188,SiO2,2100188,,,P 32 2 1,154,4.914270000000e-10,4.91427,0.00012,4.91427,,5.4058,0.0002,90,90,120,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1107/S0108768105005240,"Caspi, El'ad N.; Pokroy, Boaz; Lee, Peter L.; Quintana, John P.; Zolotoyabko, Emil",Acta Crystallographica Section B,2005,On the structure of aragonite,cod,COD entry 2100188,verified,Source states no measurement temperature; not assumed to be ambient.,ok
SiO2:cod-5000035,SiO2,5000035,Quartz,Silicon oxide,P 32 2 1,154,4.912390000000e-10,4.91239,0.00004,4.91239,0.00004,5.40385,0.00007,90,90,120,angstrom,,not_stated_in_source,single crystal or powder - see source,0.022,10.1107/S0021889887011567,"Will, G; Bellotto, M; Parrish, W; Hart, M",Journal of Applied Crystallography,1988,Crystal structures of quartz and magnesium germanate by profile analysis of synchrotron-radiation high-resolution powder data.,cod,COD entry 5000035,verified,Source states no measurement temperature; not assumed to be ambient.,ok
SiO2:cod-3000625,SiO2,3000625,keatite,,P 41 21 2,92,7.462370000000e-10,7.46237,0.00005,7.46237,0.00005,8.59612,0.00006,90,90,90,angstrom,298,recorded_diffraction,single crystal or powder - see source,,10.2109/jcersj2.25143,"Kanzaki, M.; Xue, X.",Journal of the Ceramic Society of Japan,2026,Structural and spectroscopic characterization of keatite (SiO2),cod,COD entry 3000625,verified,,ok
SnO2:cod-2101853,SnO2,2101853,,,P 42/m n m,,4.737350000000e-10,4.73735,0.00009,4.73735,0.00009,3.1864,0.00007,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1107/S0108768197001468,"Bolzan, A. A.; Fong, C.; Kennedy, B. J.; Howard, C. J.",Acta Crystallographica Section B,1997,Structural Studies of Rutile-Type Metal Dioxides,cod,COD entry 2101853,verified,Source states no measurement temperature; not assumed to be ambient.,ok
SnO2:cod-1000062,SnO2,1000062,Cassiterite,Tin(IV) oxide,P 42/m n m,136,4.738000000000e-10,4.738,0.0001,4.738,0.0001,3.1865,0.0002,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,0.036,10.1107/S0567740871005466,"Baur, W H; Khan, A A","Acta Crystallographica B (24,1968-38,1982)",1971,"Rutile-Type Compounds. VI. Si O2, Ge O2 and a Comparison with other Rutile-Type Structures",cod,COD entry 1000062,verified,Source states no measurement temperature; not assumed to be ambient.,ok
SnO2:cod-2104743,SnO2,2104743,Cassiterite,,P 42/m n m,136,4.735700000000e-10,4.7357,0.00016,4.7357,0.00016,3.18732,0.00022,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1107/S0108768110011845,"Elliot, Alexander Dean",Acta Crystallographica Section B,2010,Structure of pyrrhotite 5<i>C</i> (Fe~9~S~10~),cod,COD entry 2104743,verified,Source states no measurement temperature; not assumed to be ambient.,ok
SnO2:cod-2104754,SnO2,2104754,Cassiterite,,P 42/m n m,136,4.735760000000e-10,4.73576,0.00016,4.73576,0.00016,3.18726,0.00022,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1107/S0108768110011845,"Elliot, Alexander Dean",Acta Crystallographica Section B,2010,Structure of pyrrhotite 5<i>C</i> (Fe~9~S~10~),cod,COD entry 2104754,verified,Source states no measurement temperature; not assumed to be ambient.,ok
SnO2:cod-5000224,SnO2,5000224,Cassiterite,Tin(IV) oxide,P 42/m n m,136,4.737000000000e-10,4.737,0.001,4.737,0.001,3.185,0.001,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,0.055,10.1107/S0365110X56001388,"Baur, W. H.",Acta Crystallographica,1956,"Über die Verfeinerung der Kristallstrukturbestimmung einiger Vertreter des Rutiltyps: TiO~2~, SnO~2~, GeO~2~ und MgF~2~",cod,COD entry 5000224,verified,Source states no measurement temperature; not assumed to be ambient.,ok
TiO2:cod-4102355,TiO2,4102355,,,P 42/m n m,136,4.588780000000e-10,4.58878,0.00015,4.58878,0.00015,2.95756,0.00018,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1021/ja908128b,Eugen Dorolti; Laurent Cario; Benoît Corraze; Etienne Janod; Cristian Vaju; Hyun-Joo Koo; Erjun Kan; Myung-Hwan Whangbo,Journal of the American Chemical Society,2010,Half-Metallic Ferromagnetism and Large Negative Magnetoresistance in the New Lacunar Spinel GaTi3VS8,cod,COD entry 4102355,verified,Source states no measurement temperature; not assumed to be ambient.,ok
V2O5:cod-2020756,V2O5,2020756,,,P m m n :2,59,1.151200000000e-09,11.512,0.003,3.564,0.001,4.368,0.001,90,90,90,angstrom,292,recorded_diffraction,single crystal or powder - see source,,10.1107/s0108270186091825,"Enjalbert, Renee; Galy, Jean","Acta Crystallographica, Section C: Crystal Structure Communications",1986,A refinement of the structure of V~2~O~5~,cod,COD entry 2020756,verified,,ok
WO3:cod-1004057,WO3,1004057,,TUNGSTEN OXIDE,P 6/m m m,191,7.298000000000e-10,7.298,0.002,7.298,0.002,3.899,0.002,90,90,120,angstrom,,not_stated_in_source,single crystal or powder - see source,0.055,10.1016/0022-4596(79)90199-3,"Gerand, B; Nowogrocki, G; Guenot, J; Figlarz, M",Journal of Solid State Chemistry,1979,Structural study of a new hexagonal form of tungsten trioxide,cod,COD entry 1004057,verified,Source states no measurement temperature; not assumed to be ambient.,ok
Y2O3:cod-1513300,Y2O3,1513300,,yttria oxide,I a -3,206,1.060400000000e-09,10.604,0.000004,10.604,0.000004,10.604,0.000004,90,90,90,angstrom,295,recorded_cell,single crystal or powder - see source,,10.1107/S0909049505039208,"Ferreira, Fabio Furlan; Granado, Eduardo; Carvalho Jr, Wilson; Kycia, Stefan W.; Bruno, Daniele; Droppa Jr, Roosevelt",Journal of Synchrotron Radiation,2005,X-ray powder diffraction beamline at D10B of LNLS: application to the Ba2FeReO6double perovskite,cod,COD entry 1513300,verified,,implausible_precision
Y2O3:cod-7205917,Y2O3,7205917,,,I a -3,206,1.064310000000e-09,10.6431,0.0002,10.6431,0.0002,10.6431,0.0002,90,90,90,angstrom,298,recorded_cell,single crystal or powder - see source,,10.1039/c0jm03538f,"Park, Woon Bae; Singh, Satendra Pal; Pyo, Myoungho; Sohn, Kee-Sun",Journal of Materials Chemistry,2011,"Y6+x/3Si11−yAlyN20+x−yO1−x+y:Re3+ (Re = Ce3+, Tb3+, Sm3+) phosphors identified by solid-state combinatorial chemistry",cod,COD entry 7205917,verified,,ok
ZnO:cod-2300450,ZnO,2300450,zincite,zinc oxide,P 63 m c,186,3.249308000000e-10,3.249308,0.000018,3.249308,0.000018,5.205709,0.000038,90,90,120,angstrom,298,recorded_cell,single crystal or powder - see source,,10.1107/S1600576714003379,"Schreyer, Martin; Guo, Liangfeng; Thirunahari, Satyanarayana; Gao, Feng; Garland, Marc",Journal of Applied Crystallography,2014,"Simultaneous determination of several crystal structures from powder mixtures: the combination of powder X-ray diffraction, band-target entropy minimization and Rietveld methods",cod,COD entry 2300450,verified,,ok
ZrO2:cod-2300612,ZrO2,2300612,,,P 42/n m c :1,137,3.596100000000e-10,3.5961,0.0002,3.5961,0.0002,5.177,0.0004,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,0.077,10.1107/S0021889890002382,"Lutterotti, L.; Scardi, P.",Journal of Applied Crystallography,1990,Simultaneous Structure and Size-Strain Refinement by the Rietveld Method,cod,COD entry 2300612,verified,Source states no measurement temperature; not assumed to be ambient.,ok
ZrO2:cod-5000038,ZrO2,5000038,Arkelite,Zirconium oxide (1/2.12),F m -3 m,225,5.129100000000e-10,5.1291,0.0008,5.1291,0.0008,5.1291,0.0008,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,0.051,10.1107/S0108768192011297,"Martin, U; Boysen, H; Frey, F",Acta Crystallographica Section B,1993,"Neutron powder investigation of tetragonal and cubic stabilized zirconia, TZP and CSZ, at temperatures up to 1400 K",cod,COD entry 5000038,verified,Source states no measurement temperature; not assumed to be ambient.,ok
